Name,Group,Profile,Enabled,Action,Override,Program,Local Address,Remote Address,Protocol,Local Port,Remote Port,Authorized Computers,Authorized Local Principals,Local User Owner,PolicyAppId,Application Package,
Windows Shell Experience,Windows Shell Experience,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,NT AUTHORITY\SYSTEM,None,Microsoft.Windows.PeopleExperienceHost_cw5n1h2txyewy,
Windows Terminal,Windows Terminal,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,LUCIFER\deena,None,Microsoft.WindowsTerminal_8wekyb3d8bbwe,
Windows Web Experience Pack,Windows Web Experience Pack,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,LUCIFER\deena,None,MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy,
Wireless Display (TCP-Out),Wireless Display,All,Yes,Allow,No,%systemroot%\system32\WUDFHost.exe,Any,Any,TCP,Any,Any,Any,NT AUTHORITY\USER MODE DRIVERS,Any,None,Any,
Wireless Display (UDP-Out),Wireless Display,All,Yes,Allow,No,%systemroot%\system32\WUDFHost.exe,Any,Any,UDP,Any,Any,Any,NT AUTHORITY\USER MODE DRIVERS,Any,None,Any,
Wireless Portable Devices (SSDP-Out),Wireless Portable Devices,All,No,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Local subnet,UDP,Any,1900,Any,Any,Any,None,Any,
Wireless Portable Devices (TCP-Out),Wireless Portable Devices,Domain,No,Allow,No,%SystemRoot%\system32\wudfhost.exe,Any,Any,TCP,Any,15740,Any,Any,Any,None,Any,
Wireless Portable Devices (TCP-Out),Wireless Portable Devices,Private, Public,No,Allow,No,%SystemRoot%\system32\wudfhost.exe,Any,Local subnet,TCP,Any,15740,Any,Any,Any,None,Any,
Wireless Portable Devices (UPnPHost-Out),Wireless Portable Devices,All,No,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Local subnet,TCP,Any,2869,Any,Any,Any,None,Any,
Wireless Portable Devices (UPnP-Out),Wireless Portable Devices,All,No,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Local subnet,TCP,Any,2869,Any,Any,Any,None,Any,
WFD ASP Coordination Protocol (UDP-Out),WLAN Service - WFD Application Services Platform Coordination Protocol (Uses UDP),All,Yes,Allow,No,%systemroot%\system32\svchost.exe,Any,Local subnet,UDP,7235,7235,Any,Any,Any,None,Any,
WFD Driver-only (TCP-Out),WLAN Service - WFD Services Kernel Mode Driver Rules,All,Yes,Allow,No,System,Any,Any,TCP,Any,Any,Any,Any,Any,None,Any,
WFD Driver-only (UDP-Out),WLAN Service - WFD Services Kernel Mode Driver Rules,All,Yes,Allow,No,System,Any,Any,UDP,Any,Any,Any,Any,Any,None,Any,
Work or school account,Work or school account,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,NT AUTHORITY\SYSTEM,None,Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy,
Xbox,Xbox,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,LUCIFER\deena,None,Microsoft.GamingApp_8wekyb3d8bbwe,
Xbox Game UI,Xbox Game UI,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,NT AUTHORITY\SYSTEM,None,Microsoft.XboxGameCallableUI_cw5n1h2txyewy,
Xbox Identity Provider,Xbox Identity Provider,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,LUCIFER\deena,None,Microsoft.XboxIdentityProvider_8wekyb3d8bbwe,
Xbox TCUI,Xbox TCUI,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,LUCIFER\deena,None,Microsoft.Xbox.TCUI_8wekyb3d8bbwe,
Your account,Your account,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,NT AUTHORITY\SYSTEM,None,Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy,
